,question,correct_answer,image_file,image_link,task_category,chart_type,mc1,mc2,mc3,mc4,text_input_type
11,In which city is the cost of soda the highest?,Washington D.C.,item12.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item12.png,find_extremum,Stacked Bar Chart,New York City,Las Vegas,Atlanta,Washington D.C.,multiple_choice_question
12,The cost of vodka in Atlanta is higher than that of Honolulu.,TRUE,item14.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item14.png,make_comparisons,Stacked Bar Chart,TRUE,FALSE,Skip,,multiple_choice_question
13,The ratio of the cost of Soda to the cost of Water in Orlando is higher than that of Washington D.C.,FALSE,item15.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item15.png,make_comparisons,Stacked Bar Chart,TRUE,FALSE,Skip,,multiple_choice_question
14,What is the approval rating of Republicans among the people who have the education level of Postgraduate Study?,38%,item16.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item16.png,retrieve_value,100 % Stacked Bar Chart,38%,47%,53%,62%,multiple_choice_question
15,What is the education level of people in which the Democrats have the lowest approval rating?,College Graduate,item17.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item17.png,find_extremum,100 % Stacked Bar Chart,High School Graduate or Less,Some College Degree,College Graduate,Postgraduate study,multiple_choice_question
16,The approval rating of Republicans for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study.,FALSE,item18.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item18.png,make_comparisons,100 % Stacked Bar Chart,TRUE,FALSE,Skip,,multiple_choice_question
17,About what is the global smartphone market share of Samsung?,25%,item19.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item19.png,retrieve_value,Pie Chart,15%,25%,33%,50%,multiple_choice_question
18,In which company is the global smartphone market share the smallest?,Lenovo,item20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item20.png,find_extremum,Pie Chart,Apple,Xiaomi,Lenovo,Others,multiple_choice_question
19,The global smartphone market share of Apple is larger than that of Huawei.,TRUE,item21.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item21.png,make_comparisons,Pie Chart,TRUE,FALSE,Skip,,multiple_choice_question
20,How many people have rated the taxi between 4.0 and 4.2?,153,item22.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item22.png,retrieve_value,Histogram,145,153,200,240,multiple_choice_question
21,What is the rating that the people have rated the taxi the most?,4.4 - 4.6,item23.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item23.png,find_extremum,Histogram,4.2 - 4.4,4.4 - 4.6,4.6 - 4.8,4.8 - 5.0,multiple_choice_question
22,More people have rated the taxi between 4.6 and 4.8 than between 4.2 and 4.4.,TRUE,item25.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item25.png,characterize_distribution,Histogram,TRUE,FALSE,Skip,,multiple_choice_question
23,What is the weight for the person who is 165.1 cm tall?,70.5 kg,item26.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item26.png,retrieve_value,Scatterplot,53.9 kg,67.7 kg,70.5 kg,82.7 kg,multiple_choice_question
24,What is the height for the tallest person among the 85 males?,197.1 cm,item27.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item27.png,find_extremum,Scatterplot,175.3 cm,192 cm,197.1 cm,200 cm,multiple_choice_question
25,What is the range in weight for the 85 males?,53.9 - 102.3 kg,item28.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item28.png,determine_Range,Scatterplot,40 - 130 kg,62.3 - 90.9 kg,53.9 - 102.3 kg,53.9 - 123.6 kg,multiple_choice_question
26,What is the height for a person who lies outside the others the most?,175.3 cm,item29.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item29.png,find_anomolies,Scatterplot,175.3 cm,192 cm,197.1 cm,200 cm,multiple_choice_question
27,A group of males are gathered around the height of 176 cm and the weight of 70 kg.,TRUE,item30.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item30.png,find_clusters,Scatterplot,TRUE,FALSE,Skip,,multiple_choice_question
28,There is a negative linear relationship between the height and the weight of the 85 males.,FALSE,item31.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item31.png,find_correlations_trends,Scatterplot,TRUE,FALSE,Skip,,multiple_choice_question
29,The weights for males with the height of 188 cm are all the same.,FALSE,item32.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item32.png,make_comparisons,Scatterplot,TRUE,FALSE,Skip,,multiple_choice_question
30,What was the average price of a pound of coffee beans in September 2013?,$5.10,item35.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item35.png,retrieve_value,Area Chart,$4.90,$5.00,$5.10,$5.20,multiple_choice_question
31,When was the average price of a pound of coffee beans at minimum?,December 2014,item36.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item36.png,find_extremum,Area Chart,April 2013,September 2013,June 2014,December 2014,multiple_choice_question
32,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.6 - $6.0,item37.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item37.png,determine_Range,Area Chart,$4.4 - $6.2,$4.6 - $5.9,$4.6 - $6.0,$4.6 - $6.1,multiple_choice_question
33,"Over the course of 2013, the average price of a pound of coffee beans was ____________.",falling,item38.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item38.png,find_correlations_trends,Area Chart,rising,falling,staying,Skip,multiple_choice_question
34,What was the number of girls named 'Amelia' in 2010 in the UK?,4200,item40.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item40.png,retrieve_value,Stacked Area Chart,1500,3800,4200,8000,multiple_choice_question
35,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in the UK?,1 to 1,item41.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item41.png,retrieve_value,Stacked Area Chart,1 to 1,1 to 2,1 to 3,1 to 4,multiple_choice_question
36,"Over the course of years between 2009 and 2014, when was the number of girls named 'Amelia' at the maximum?",2012,item42.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item42.png,find_extremum,Stacked Area Chart,2009,2011,2012,2014,multiple_choice_question
37,The number of girls named 'Isla' was __________ from 2009 to 2012.,rising,item43.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item43.png,find_correlations_trends,Stacked Area Chart,rising,falling,staying,Skip,multiple_choice_question
38,"In the UK, the number of girls named 'Amelia' in 2014 was more than it was in 2013.",FALSE,item44.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item44.png,make_comparisons,Stacked Area Chart,TRUE,FALSE,Skip,,multiple_choice_question
39,"Over the course of years between 2009 and 2014, the number of girls named 'Isla' was always more than 'Olivia'.",FALSE,item45.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item45.png,make_comparisons,Stacked Area Chart,TRUE,FALSE,Skip,,multiple_choice_question
40,What is the total length of the metro system in Beijing?,530 km,item47.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item47.png,retrieve_value,Bubble Chart,330 km,400 km,530 km,560 km,multiple_choice_question
41,Which city's metro system has the largest number of stations?,New York City,item48.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item48.png,find_extremum,Bubble Chart,Seoul,Beijing,New York City,Shanghai,multiple_choice_question
42,What is the range of the total length of the metro systems?,180 - 560 km,item49.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item49.png,determine_Range,Bubble Chart,150 - 600 km,240 - 380 km,240 - 560 km,180 - 560 km,multiple_choice_question
43,Which city's metro system does lie outside the relationship between the total system length and the number of stations most?,New York City,item50.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item50.png,find_anomolies,Bubble Chart,Tokyo,New York City,Beijing,London,multiple_choice_question
44,A group of the metro systems of the world has approximately 300 stations and around a 200km system length.,FALSE,item51.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item51.png,find_clusters,Bubble Chart,TRUE,FALSE,Skip,,multiple_choice_question
45,"In general, the ridership of the metro system increases as the number of stations increases.",FALSE,item52.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item52.png,find_correlations_trends,Bubble Chart,TRUE,FALSE,Skip,,multiple_choice_question
46,The metro system in Shanghai has more ridership than the metro system in Beijing.,FALSE,item53.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item53.png,make_comparisons,Bubble Chart,TRUE,FALSE,Skip,,multiple_choice_question
47,What was the unemployment rate for Indiana (IN) in 2015?,4.0% - 5.0%,item55.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item55.png,retrieve_value,Choropleth Map,1.1% - 2.3%,2.3% - 3.4%,3.4% - 4.6%,4.0% - 5.0%,multiple_choice_question
48,In which state was the unemployment rate the highest in 2015?,New Mexico (NM),item56.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item56.png,find_extremum,Choropleth Map,Alaska (AK),New Mexico (NM),Florida (FL),New York (NY),multiple_choice_question
49,"In 2015, the unemployment rate for Washington (WA) was higher than that of Wisconsin (WI).",TRUE,item57.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item57.png,make_comparisons,Choropleth Map,TRUE,FALSE,Skip,,multiple_choice_question
50,For which website was the number of unique visitors the largest in 2010?,Google,item59.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item59.png,find_extremum,Treemap,Facebook,Amazon,Bing,Google,multiple_choice_question
51,The number of unique visitors for Amazon was more than that of Yahoo in 2010.,FALSE,item60.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item60.png,make_comparisons,Treemap,TRUE,FALSE,,,multiple_choice_question
52,Samsung is nested in the Financial category.,FALSE,item61.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item61.png,find_correlations_trends,Treemap,TRUE,FALSE,Skip,,multiple_choice_question
